tweet_text,polarity,URL
RT @Medicayy: @davidbewart As the laws don't apply to #LNP's MPs. The same way Mobs think and operate as unlawful Criminals Organizations.…,negative,https://twitter.com/khtagh/status/1254940330262028289
RT @phbarratt: No proof of download at Taylor's office: police  “Low level of harm”!  Apart from the attempt to inflict damage on Clover Mo…,negative,https://twitter.com/aconvict/status/1254930389006573568
"RT @joshuawongcf: 4/ In the police station, it’s like hell! #hongkongprotesters were severely beaten with heads covered with blood. Even th…",negative,https://twitter.com/Babybathtub/status/1255042659879497728
"RT @Ash_Stewart_: Sohail Anjum has just woken up from a 25-day coma battling #Covid19. While he was unconscious, his mother died from the v…",negative,https://twitter.com/AvrilTremayne/status/1255031575676203008
"@WhiteHouse @realDonaldTrump The imbecile-in-chief ""can't imagine why"" there's a spike in poisonous disinfectant in… https://t.co/pv77tfQueF",negative,https://twitter.com/Vicki92402710/status/1254935741605580816
RT @marmitemarmz: How the alt-right is pivoting to TikTok  The video-sharing app was praised for banning rancid hate goblin Tommy Robinson…,negative,https://twitter.com/SvenRadio/status/1255054572231577600
RT @ABarrMLA: Temporary visa holders and international students affected by COVID-19 who are ineligible for Commonwealth assistance program…,negative,https://twitter.com/KimberleyHarvey/status/1254988833533255680
RT @Senator_CFW: @australian  https://t.co/ThyYoIo80p  @SecPompeo correctly warns of #CCP ramping up aggression. Schoolyard bullies only st…,negative,https://twitter.com/Freedom_hope_hk/status/1254932292381757440
"@CISOZ Why bother to write such a small, incomplete piece?  The headline: Learning from home isn't fair or sustaina… https://t.co/FCIP9LzV8K",negative,https://twitter.com/RoryDWatts/status/1255031982259490816
"RT @auskier: So if it works via Bluetooth only, why do I need to allow the app access to location services? This isnt what was promised? @C…",negative,https://twitter.com/EarthDigita/status/1254943461230305282
RT @BernardKeane: So the ABC was right and bureaucrats and ministers (paid a lot of money to get it right) were wrong - the Americans can t…,negative,https://twitter.com/LadyCaroline1/status/1255025309075689472
RT @Lashesxx: Surely after Panorama there will be a vote of no confidence in The Government .. @Keir_Starmer  They are killing our NHS Staf…,negative,https://twitter.com/suemitton1/status/1255037428227870721
"RT @Sir_Thomas_Wynn: #auspol  DEAR STUPID [LPN-SUPPORTING] AUSSIES,  YOUR DATA IS NOW IN AMERICA  & CAN BE ACCESSED BY THEIR AUTHORITIES...…",negative,https://twitter.com/mister_wynn/status/1254989830418690051
"RT @DrHVoffice: Watch Live!! Dr Harsh Vardhan, Union Minister for HFW, S&T, ES interacts through Video Conferencing with Autonomous Institu…",negative,https://twitter.com/AbhiGChaurasiya/status/1255052477419761670
RT @RandaltsRandal: 'Effrontery' in the dictionary should give this example:  'Liberal politician pretends to give a toss about disadvantag…,negative,https://twitter.com/Bloss55/status/1254963253576265729
RT @Medicayy: @davidbewart As the laws don't apply to #LNP's MPs. The same way Mobs think and operate as unlawful Criminals Organizations.…,negative,https://twitter.com/leevladf/status/1254939813796409345
"RT @MissChic5: Que chingón nos salió el viejo pndejo de López, pidiendo dinero para PEMEX, para sus proyectos inviables, etc. Pero no quier…",negative,https://twitter.com/Pedro81143360/status/1255059511959793667
RT @lee_manwaring: Genuine question: Why is America losing the battle against this virus?  Nearly every other first world country seems to…,negative,https://twitter.com/JustinRaethel/status/1255039487828086784
RT @albericie: *IMPORTANT STUDY of Vo - 70km west of Venice where 1st Italian #COVID19 death was recorded on Feb 21  Vo went in to lockdown…,negative,https://twitter.com/allisonBeDemure/status/1255029864849043456
RT @AlboMP: Working people have had our backs during this crisis. I’ll always have theirs. https://t.co/Pa6ShA4wH9,negative,https://twitter.com/DrusiMegget/status/1255020614152097792
@rhyscohen Missed it. Is it archived anywhere?,negative,https://twitter.com/AMC_Signpost/status/1254992127706062848
RT @lenoretaylor: Angus Taylor and Scott Morrison won't be able to brush off uncomfortable questions much longer | Malcolm Farr https://t.c…,negative,https://twitter.com/GregLucas07/status/1254982875834773506
RT @BelindaJones68: 'high company tax rates'?  Oh FFS!!  I challenge Helen Coonan to name one business in Australia that pays the full comp…,negative,https://twitter.com/KirrinaBarry/status/1255014507354546176
"This was one of the points on the Leftist Activist ""climate change"" check list --  make people stop eating meat.  O… https://t.co/wb64iJ3tv2",negative,https://twitter.com/SPhilip18/status/1254926383270289409
RT @SintuTi87593664: ????????? ?? Die Hard Fan ?? ??????? ??????? ???????????  #covidsafe,negative,https://twitter.com/iRajendraShrma/status/1254930447550877698
