tweet_text,polarity,URL
RT @EddyJokovich: Why did @DaveSharma purchase lots of Qantas shares recently? #auspol,positive,https://twitter.com/aikimic/status/1254991994171977729
I like the look of the DUNG PILE very handsome ???????????????????????? https://t.co/Po5nZ8VBKc,positive,https://twitter.com/JenniferAshwor4/status/1255027164585398272
RT @bruce_haigh: #auspol #COVID19Aus #China Why did I just know that Uncle Albo would join in the China bashing. This is sledge hammer dipl…,positive,https://twitter.com/kim66690354/status/1254928215505682438
I’ve downloaded the new COVIDSafe app. It’s quick & easy! ????   Have you signed up yet?  #covidsafe https://t.co/LvWBtZwo61,positive,https://twitter.com/LeeanneEnoch/status/1254958290204651520
"RT @IdeologyBreaker: Of course, yet so many supporting the lockdown are still not aware of this - scientific research is controlled by mone…",positive,https://twitter.com/hopesmum2010/status/1255044300020297728
"In this afternoons article celebrating @DayofImmunology tomorrow, we explore MAIT cells, our Immune system's intern… https://t.co/iEZG2Fg7xo",positive,https://twitter.com/TheDohertyInst/status/1255016740708204544
Agree! Thanks @TwoPaddocks and your animal friends ????????????????(apologies to Charlie P - only duck I could find) https://t.co/oZIOEoLCS5,positive,https://twitter.com/LRussellWolpe/status/1255009097948127232
RT @ScotRenew: Today marks the one year anniversary of @ScotGovFM declaration of a #ClimateEmergency. We are proud to represent Scotland’s…,positive,https://twitter.com/OurFutureBot/status/1255031523843112960
@gdgoz @murpharoo @cunningham_cch @knausc Yes. Not downloaded. Typed up in a Word document? ...  #auspol #AngusGate… https://t.co/V4OIc3pHXF,positive,https://twitter.com/arthurdeigh/status/1254924271811354624
RT @JoeySalads: BREAKING: Texas Governor will allow the  'Stay At Home' order to end on Thursday and open Businesses on Friday!!!  We need…,positive,https://twitter.com/America01351848/status/1254928724866117632
"When my kids' school tells me they have implemented COVID-19 ntesting for ALL attendees - kids, teachers, support s… https://t.co/bvitUbTdej",positive,https://twitter.com/ianinindo1/status/1254960747160862722
"RT @Therese_Rein: @KKeneally @ScottMorrisonMP @AusBorderForce I would still like to see the document in which the Minister, Peter Dutton, i…",positive,https://twitter.com/mary_tambling63/status/1255033663181316097
RT @swilkinsonbc: Israelis take full advantage of lockdown and hack down around 40 privately-owned Palestinian olive trees in al-Sawiya vil…,positive,https://twitter.com/AndreaKhne1/status/1255057881805869056
RT @cryogyny: Fran Kelly right now suggesting that Ministerial accountability be set aside due to the pandemic. Yes a journalist suggesting…,positive,https://twitter.com/MsAshleyDennis/status/1254980729022197760
"RT @VerdictUK: What can organisations do to ensure their employees are working securely from any location, no matter what disruptions may a…",positive,https://twitter.com/CyberSecurityN8/status/1255029242271760385
"RT @MedicGuild: ""The Government has the opportunity to heed the expert medical advice by ensuring people are released into safe accommodati…",positive,https://twitter.com/marijuanacomau/status/1254988589601099776
